There is 50 cells and 105 mutations.
ROOT:84
step:  1,	mode:swap_subtrees,	new_error:240.60,	last_error:240.60,	acc_prob:0.951
step:  2,	mode:swap_subtrees,	new_error:240.40,	last_error:240.40,	acc_prob:1.000
step:  3,	mode:swap_subtrees,	new_error:240.50,	last_error:240.50,	acc_prob:0.975
step:  4,	mode:prune_reattach,	new_error:239.70,	last_error:239.70,	acc_prob:1.000
step:  5,	mode:swap_subtrees,	new_error:240.50,	last_error:240.50,	acc_prob:0.819
step:  6,	mode:swap_subtrees,	new_error:240.50,	last_error:240.50,	acc_prob:1.000
step:  7,	mode:prune_reattach,	new_error:240.50,	last_error:240.50,	acc_prob:1.000
step:  8,	mode:swap_nodes,	new_error:240.50,	last_error:240.50,	acc_prob:1.000
step:  9,	mode:swap_nodes,	new_error:240.50,	last_error:240.50,	acc_prob:1.000
step: 10,	mode:swap_nodes,	new_error:240.50,	last_error:240.50,	acc_prob:0.000
