There is 21 cells and 11 mutations.
ROOT:5
step:  1,	mode:swap_subtrees,	new_error:6.40,	last_error:6.40,	acc_prob:1.000
step:  2,	mode:prune_reattach,	new_error:6.10,	last_error:6.10,	acc_prob:1.000
step:  3,	mode:prune_reattach,	new_error:5.70,	last_error:5.70,	acc_prob:1.000
step:  4,	mode:swap_subtrees,	new_error:5.70,	last_error:5.70,	acc_prob:1.000
step:  5,	mode:swap_subtrees,	new_error:5.70,	last_error:5.70,	acc_prob:1.000
step:  6,	mode:swap_subtrees,	new_error:5.70,	last_error:5.70,	acc_prob:1.000
step:  7,	mode:prune_reattach,	new_error:5.70,	last_error:5.70,	acc_prob:1.000
step:  8,	mode:swap_nodes,	new_error:5.90,	last_error:5.70,	acc_prob:0.000
step:  9,	mode:swap_nodes,	new_error:5.30,	last_error:5.30,	acc_prob:1.000
step: 10,	mode:swap_nodes,	new_error:5.30,	last_error:5.30,	acc_prob:1.000
step: 11,	mode:swap_nodes,	new_error:3.80,	last_error:3.80,	acc_prob:1.000
step: 12,	mode:swap_nodes,	new_error:3.80,	last_error:3.80,	acc_prob:1.000
step: 13,	mode:swap_nodes,	new_error:3.80,	last_error:3.80,	acc_prob:1.000
step: 14,	mode:swap_nodes,	new_error:4.30,	last_error:3.80,	acc_prob:0.000
step: 15,	mode:swap_nodes,	new_error:3.80,	last_error:3.80,	acc_prob:1.000
step: 16,	mode:swap_subtrees,	new_error:5.30,	last_error:3.80,	acc_prob:0.000
step: 17,	mode:swap_subtrees,	new_error:3.80,	last_error:3.80,	acc_prob:1.000
step: 18,	mode:prune_reattach,	new_error:3.80,	last_error:3.80,	acc_prob:1.000
step: 19,	mode:prune_reattach,	new_error:3.20,	last_error:3.20,	acc_prob:1.000
step: 20,	mode:prune_reattach,	new_error:3.50,	last_error:3.20,	acc_prob:0.005
step: 21,	mode:swap_subtrees,	new_error:3.20,	last_error:3.20,	acc_prob:1.000
step: 22,	mode:swap_subtrees,	new_error:3.20,	last_error:3.20,	acc_prob:1.000
step: 23,	mode:prune_reattach,	new_error:3.20,	last_error:3.20,	acc_prob:1.000
step: 24,	mode:swap_nodes,	new_error:5.00,	last_error:3.20,	acc_prob:0.000
step: 25,	mode:swap_nodes,	new_error:2.80,	last_error:2.80,	acc_prob:1.000
step: 26,	mode:swap_nodes,	new_error:3.20,	last_error:2.80,	acc_prob:0.000
step: 27,	mode:swap_nodes,	new_error:5.30,	last_error:2.80,	acc_prob:0.000
step: 28,	mode:swap_nodes,	new_error:3.20,	last_error:2.80,	acc_prob:0.000
step: 29,	mode:swap_nodes,	new_error:4.10,	last_error:2.80,	acc_prob:0.000
step: 30,	mode:swap_nodes,	new_error:5.00,	last_error:2.80,	acc_prob:0.000
step: 31,	mode:swap_nodes,	new_error:2.80,	last_error:2.80,	acc_prob:1.000
step: 32,	mode:prune_reattach,	new_error:2.80,	last_error:2.80,	acc_prob:1.000
step: 33,	mode:prune_reattach,	new_error:2.80,	last_error:2.80,	acc_prob:1.000
step: 34,	mode:prune_reattach,	new_error:5.00,	last_error:2.80,	acc_prob:0.000
step: 35,	mode:swap_subtrees,	new_error:3.10,	last_error:2.80,	acc_prob:0.002
step: 36,	mode:prune_reattach,	new_error:2.80,	last_error:2.80,	acc_prob:1.000
step: 37,	mode:prune_reattach,	new_error:2.70,	last_error:2.70,	acc_prob:1.000
step: 38,	mode:swap_subtrees,	new_error:3.20,	last_error:2.70,	acc_prob:0.000
step: 39,	mode:prune_reattach,	new_error:2.40,	last_error:2.40,	acc_prob:1.000
step: 40,	mode:swap_nodes,	new_error:2.20,	last_error:2.20,	acc_prob:1.000
step: 41,	mode:swap_nodes,	new_error:2.60,	last_error:2.20,	acc_prob:0.000
step: 42,	mode:swap_nodes,	new_error:2.90,	last_error:2.20,	acc_prob:0.000
step: 43,	mode:swap_nodes,	new_error:2.40,	last_error:2.20,	acc_prob:0.000
step: 44,	mode:swap_nodes,	new_error:3.20,	last_error:2.20,	acc_prob:0.000
step: 45,	mode:swap_nodes,	new_error:2.90,	last_error:2.20,	acc_prob:0.000
step: 46,	mode:swap_nodes,	new_error:2.90,	last_error:2.20,	acc_prob:0.000
step: 47,	mode:swap_nodes,	new_error:2.30,	last_error:2.20,	acc_prob:0.000
