There is 17 cells and 15 mutations.
ROOT:11
step: 71,	mode:prune_reattach,	new_error:2.10,	last_error:2.10,	acc_prob:1.000
step: 72,	mode:swap_nodes,	new_error:4.00,	last_error:2.10,	acc_prob:0.000
step: 73,	mode:swap_nodes,	new_error:2.00,	last_error:2.00,	acc_prob:1.000
step: 74,	mode:swap_nodes,	new_error:2.40,	last_error:2.00,	acc_prob:0.000
step: 75,	mode:swap_nodes,	new_error:4.20,	last_error:2.00,	acc_prob:0.000
step: 76,	mode:swap_nodes,	new_error:2.10,	last_error:2.00,	acc_prob:0.000
step: 77,	mode:swap_nodes,	new_error:2.00,	last_error:2.00,	acc_prob:1.000
step: 78,	mode:swap_nodes,	new_error:2.30,	last_error:2.00,	acc_prob:0.000
step: 79,	mode:swap_nodes,	new_error:2.60,	last_error:2.00,	acc_prob:0.000
step: 80,	mode:swap_subtrees,	new_error:4.20,	last_error:2.00,	acc_prob:0.000
step: 81,	mode:swap_subtrees,	new_error:5.20,	last_error:2.00,	acc_prob:0.000
step: 82,	mode:swap_subtrees,	new_error:2.00,	last_error:2.00,	acc_prob:1.000
step: 83,	mode:swap_subtrees,	new_error:3.90,	last_error:2.00,	acc_prob:0.000
step: 84,	mode:swap_subtrees,	new_error:4.20,	last_error:2.00,	acc_prob:0.000
step: 85,	mode:prune_reattach,	new_error:4.50,	last_error:2.00,	acc_prob:0.000
step: 86,	mode:prune_reattach,	new_error:2.10,	last_error:2.00,	acc_prob:0.054
step: 87,	mode:swap_subtrees,	new_error:5.20,	last_error:2.00,	acc_prob:0.000
step: 88,	mode:swap_nodes,	new_error:2.00,	last_error:2.00,	acc_prob:1.000
step: 89,	mode:swap_nodes,	new_error:2.30,	last_error:2.00,	acc_prob:0.000
step: 90,	mode:swap_nodes,	new_error:4.50,	last_error:2.00,	acc_prob:0.000
step: 91,	mode:swap_nodes,	new_error:2.00,	last_error:2.00,	acc_prob:1.000
step: 92,	mode:swap_nodes,	new_error:2.30,	last_error:2.00,	acc_prob:0.000
step: 93,	mode:swap_nodes,	new_error:2.00,	last_error:2.00,	acc_prob:1.000
step: 94,	mode:swap_nodes,	new_error:2.20,	last_error:2.00,	acc_prob:0.000
step: 95,	mode:swap_nodes,	new_error:3.10,	last_error:2.00,	acc_prob:0.000
step: 96,	mode:prune_reattach,	new_error:2.10,	last_error:2.00,	acc_prob:0.054
step: 97,	mode:swap_subtrees,	new_error:1.90,	last_error:1.90,	acc_prob:1.000
step: 98,	mode:swap_subtrees,	new_error:4.40,	last_error:1.90,	acc_prob:0.000
step: 99,	mode:swap_subtrees,	new_error:3.10,	last_error:1.90,	acc_prob:0.000
step:100,	mode:prune_reattach,	new_error:4.10,	last_error:1.90,	acc_prob:0.000
step:101,	mode:prune_reattach,	new_error:3.10,	last_error:1.90,	acc_prob:0.000
step:102,	mode:prune_reattach,	new_error:4.20,	last_error:1.90,	acc_prob:0.000
step:103,	mode:prune_reattach,	new_error:1.90,	last_error:1.90,	acc_prob:1.000
step:104,	mode:swap_nodes,	new_error:4.10,	last_error:1.90,	acc_prob:0.000
step:105,	mode:swap_nodes,	new_error:3.70,	last_error:1.90,	acc_prob:0.000
step:106,	mode:swap_nodes,	new_error:2.70,	last_error:1.90,	acc_prob:0.000
step:107,	mode:swap_nodes,	new_error:4.50,	last_error:1.90,	acc_prob:0.000
step:108,	mode:swap_nodes,	new_error:3.50,	last_error:1.90,	acc_prob:0.000
step:109,	mode:swap_nodes,	new_error:4.10,	last_error:1.90,	acc_prob:0.000
step:110,	mode:swap_nodes,	new_error:2.10,	last_error:1.90,	acc_prob:0.000
step:111,	mode:swap_nodes,	new_error:2.10,	last_error:1.90,	acc_prob:0.000
step:112,	mode:swap_subtrees,	new_error:1.90,	last_error:1.90,	acc_prob:1.000
step:113,	mode:swap_subtrees,	new_error:2.00,	last_error:1.90,	acc_prob:0.046
step:114,	mode:swap_subtrees,	new_error:3.30,	last_error:1.90,	acc_prob:0.000
step:115,	mode:prune_reattach,	new_error:2.00,	last_error:1.90,	acc_prob:0.046
step:116,	mode:swap_subtrees,	new_error:4.30,	last_error:1.90,	acc_prob:0.000
step:117,	mode:prune_reattach,	new_error:1.90,	last_error:1.90,	acc_prob:1.000
step:118,	mode:prune_reattach,	new_error:2.70,	last_error:1.90,	acc_prob:0.000
step:119,	mode:prune_reattach,	new_error:1.90,	last_error:1.90,	acc_prob:1.000
