There is 25 cells and 25 mutations.
ROOT:10
step:  1,	mode:swap_subtrees,	new_error:14.70,	last_error:12.90,	acc_prob:0.000
step:  2,	mode:swap_subtrees,	new_error:12.40,	last_error:12.40,	acc_prob:1.000
step:  3,	mode:prune_reattach,	new_error:12.40,	last_error:12.40,	acc_prob:1.000
step:  4,	mode:swap_subtrees,	new_error:12.40,	last_error:12.40,	acc_prob:1.000
step:  5,	mode:swap_subtrees,	new_error:12.10,	last_error:12.10,	acc_prob:1.000
step:  6,	mode:swap_subtrees,	new_error:15.10,	last_error:12.10,	acc_prob:0.000
step:  7,	mode:prune_reattach,	new_error:12.10,	last_error:12.10,	acc_prob:1.000
step:  8,	mode:swap_nodes,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step:  9,	mode:swap_nodes,	new_error:12.10,	last_error:11.90,	acc_prob:0.000
step: 10,	mode:swap_nodes,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 11,	mode:swap_nodes,	new_error:12.00,	last_error:11.90,	acc_prob:0.000
step: 12,	mode:swap_nodes,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 13,	mode:swap_nodes,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 14,	mode:swap_nodes,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 15,	mode:swap_nodes,	new_error:14.80,	last_error:11.90,	acc_prob:0.000
step: 16,	mode:swap_subtrees,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 17,	mode:swap_subtrees,	new_error:13.40,	last_error:11.90,	acc_prob:0.001
step: 18,	mode:swap_subtrees,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 19,	mode:prune_reattach,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 20,	mode:prune_reattach,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 21,	mode:swap_subtrees,	new_error:12.70,	last_error:11.90,	acc_prob:0.020
step: 22,	mode:prune_reattach,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 23,	mode:prune_reattach,	new_error:11.90,	last_error:11.90,	acc_prob:1.000
step: 24,	mode:swap_nodes,	new_error:13.10,	last_error:11.90,	acc_prob:0.000
